sourceTaxonId	sourceTaxonName	stage	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	LocationinhostName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	notes	referenceSource	referenceDoi	referenceCitation
EOL:589506	Lueheia inscripta	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:1052059	Quiscalus niger	gut						experimental infections of grackle chicks failed to produce infections	Acholonu. 1976. Proc. Helminthol. Soc. Wash. 43: 106-116	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:589506	Lueheia inscripta	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:795860	Anolis cristatellus	mesentery							Acholonu. 1976. Proc. Helminthol. Soc. Wash. 43: 106-116	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:16843115	Raillietina cesticillus	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:233445	Aphodius granarius	body cavity						cites Jones 1930	Ackert and Reid. 1936. Trans. Am. Microsc. Soc. 55: 97-100	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:16843115	Raillietina cesticillus	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:1015759	Calathus opaculus	body cavity						cites Jones 1930	Ackert and Reid. 1936. Trans. Am. Microsc. Soc. 55: 97-100	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:16843115	Raillietina cesticillus	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of		Stenocellus debilipes	body cavity						cites Jones 1932	Ackert and Reid. 1936. Trans. Am. Microsc. Soc. 55: 97-100	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:16843115	Raillietina cesticillus	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:3466812	Selenophorus pedicularius	body cavity						cites Jones 1930	Ackert and Reid. 1936. Trans. Am. Microsc. Soc. 55: 97-100	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:16843115	Raillietina cesticillus	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:448967	Stenocellus rupestris	body cavity						cites Jones 1932	Ackert and Reid. 1936. Trans. Am. Microsc. Soc. 55: 97-100	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:16843115	Raillietina cesticillus	http://purl.obolibrary.org/obo/PATO_0001185	RO:0002444	parasite of	EOL:312635	Stenolophus conjunctus	body cavity						cites Jones 1932	Ackert and Reid. 1936. Trans. Am. Microsc. Soc. 55: 97-100	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
	Pseudodelphis oligocotti	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:210928	Oligocottus maculosus	body cavity						type host, but not gravid females recovered	Adamson and Roth. 1990. J. Parasitol. 76: 509-514	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:10620982	Gyrinicola batrachiensis	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:330883	Rana clamitans	gut						only infects tadpoles; can either autoinfect or release thick-shelled dispersing eggs depending on host and its seasonal availability	Adamson. 1980. Can. J. Zool. 59: 1344-1350	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:10620982	Gyrinicola batrachiensis	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:330963	Lithobates catesbeianus	gut						only infects tadpoles; can either autoinfect or release thick-shelled dispersing eggs depending on host and its seasonal availability	Adamson. 1980. Can. J. Zool. 59: 1344-1350	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
EOL:10620982	Gyrinicola batrachiensis	http://www.ebi.ac.uk/efo/EFO_0001272	RO:0002444	parasite of	EOL:1019093	Lithobates pipiens	gut						only infects tadpoles; can either autoinfect or release thick-shelled dispersing eggs depending on host and its seasonal availability	Adamson. 1980. Can. J. Zool. 59: 1344-1350	doi:10.1002/ecy.1680	Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680
